Sample,String,Family,Binomial,Common name,MaxN,Biomass,TR,VUL-F,PD,VUL-C,IUCN,Has fed
PAL14_106,PAL14_22,Carangidae,Caranx sexfasciatus,bigeye trevally,1,2.078630626,4.5,45,0.5,71.83098592,LC,No
PAL14_108,PAL14_22,Carangidae,Caranx sp,Caranx trevally,2,5.233059659,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_108,PAL14_22,Carcharhinidae,Carcharhinus falciformis,silky shark,1,16364.30876,4.5,79,0.5,76.31578947,VU,No
PAL14_109,PAL14_22,Carangidae,Carangidae sp,jacks,1,0.328697842,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_111,PAL14_23,Unknown,Unknown sp,unknown,1,1.444323889,-,-,-,-,-,No
PAL14_112,PAL14_23,Carcharhinidae,Carcharhinus limbatus,blacktip shark,1,10190.49863,4.4,55,0.5,79.09502262,VU,No
PAL14_113,PAL14_23,Carangidae,Elagatis bipinnulata,rainbow runner,4,1400.803794,4.3,51,1,73.66932362,LC,No
PAL14_113,PAL14_23,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,2027.496043,4.1,85,0.5,-,NT,No
PAL14_113,PAL14_23,Carcharhinidae,Carcharhinus sp,requiem shark,1,1977.160566,4.316190476,73.76190476,0.0501,-,VU,No
PAL14_113,PAL14_23,Scombridae,Acanthocybium solandri,wahoo,1,1004.483632,4.3,46,1,76.06382979,LC,No
PAL14_114,PAL14_23,Carangidae,Carangidae sp,jacks,2,1.830256007,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_115,PAL14_23,Nomeidae,Psenes sp,Psenes driftfish,1,0.345448203,3.52,15,0.51615,-,LC,No
PAL14_115,PAL14_23,Scombridae,Acanthocybium solandri,wahoo,1,12359.26281,4.3,46,1,76.06382979,LC,No
PAL14_116,PAL14_24,Carangidae,Caranx sp,Caranx trevally,3,9.696814156,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_116,PAL14_24,Carangidae,Decapterus sp,Decapterus scad,28,164.2453521,4,20,0.0501,-,LC,No
PAL14_116,PAL14_24,Nomeidae,Psenes sp,Psenes driftfish,8,3.390480979,3.52,15,0.51615,-,LC,No
PAL14_117,PAL14_24,Carangidae,Caranx sp,Caranx trevally,1,1.155118081,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_117,PAL14_24,Nomeidae,Psenes sp,Psenes driftfish,6,1.149547538,3.52,15,0.51615,-,LC,No
PAL14_118,PAL14_24,Carangidae,Caranx sp,Caranx trevally,2,5.422034708,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_118,PAL14_24,Carangidae,Decapterus macarellus,mackerel scad,2,30.1078478,4,20,0.0501,-,LC,No
PAL14_118,PAL14_24,Nomeidae,Psenes sp,Psenes driftfish,4,2.6939887,3.52,15,0.51615,-,LC,No
PAL14_119,PAL14_24,Carangidae,Caranx sp,Caranx trevally,2,2.434284713,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_119,PAL14_24,Nomeidae,Psenes sp,Psenes driftfish,5,2.037780065,3.52,15,0.51615,-,LC,No
PAL14_119,PAL14_24,Scombridae,Acanthocybium solandri,wahoo,1,18597.02363,4.3,46,1,76.06382979,LC,No
PAL14_120,PAL14_24,Carangidae,Caranx sp,Caranx trevally,1,3.387931559,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_120,PAL14_24,Nomeidae,Psenes sp,Psenes driftfish,3,1.395433433,3.52,15,0.51615,-,LC,No
PAL14_120,PAL14_24,Scombridae,Scombridae sp,mackerels,1,1243.915159,3.797378776,49.5368905,0.617111044,-,-,No
PAL14_121,PAL14_25,Blenniidae,Aspidontus taeniatus,false cleanerfish,1,0.221665184,3.8,22,0.625,-,LC,No
PAL14_121,PAL14_25,Carangidae,Caranx sp,Caranx trevally,1,3.263827534,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_121,PAL14_25,Monacanthidae,Monacanthidae sp,leatherjackets,1,5.869544351,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_122,PAL14_25,Nomeidae,Psenes sp,Psenes driftfish,1,0.763654382,3.52,15,0.51615,-,LC,No
PAL14_122,PAL14_25,Carangidae,Decapterus macarellus,mackerel scad,29,233.7534209,4,20,0.0501,-,LC,No
PAL14_123,PAL14_25,Carangidae,Caranx sp,Caranx trevally,1,2.722922834,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_123,PAL14_25,Carangidae,Decapterus macarellus,mackerel scad,34,434.3707465,4,20,0.0501,-,LC,No
PAL14_123,PAL14_25,Molidae,Mola mola,ocean sunfish,1,381333.8059,3.3,67,0.6562,42.85714286,VU,No
PAL14_123,PAL14_25,Monacanthidae,Monacanthidae sp,leatherjackets,1,6.65062412,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_123,PAL14_25,Nomeidae,Psenes sp,Psenes driftfish,2,2.705060288,3.52,15,0.51615,-,LC,No
PAL14_124,PAL14_25,Carangidae,Caranx sp,Caranx trevally,1,1.806037703,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_124,PAL14_25,Carangidae,Decapterus macarellus,mackerel scad,32,142.2453749,4,20,0.0501,-,LC,No
PAL14_124,PAL14_25,Nomeidae,Psenes sp,Psenes driftfish,2,2.30677853,3.52,15,0.51615,-,LC,No
PAL14_125,PAL14_25,Carangidae,Caranx sp,Caranx trevally,1,1.656223403,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_125,PAL14_25,Carangidae,Decapterus macarellus,mackerel scad,23,346.1970106,4,20,0.0501,-,LC,No
PAL14_125,PAL14_25,Carcharhinidae,Carcharhinus falciformis,silky shark,1,16070.22204,4.5,79,0.5,76.31578947,VU,No
PAL14_125,PAL14_25,Nomeidae,Psenes sp,Psenes driftfish,1,0.460777589,3.52,15,0.51615,-,LC,No
PAL14_126,PAL14_26,Carangidae,Decapterus macarellus,mackerel scad,37,427.0308696,4,20,0.0501,-,LC,No
PAL14_126,PAL14_26,Carcharhinidae,Carcharhinus falciformis,silky shark,1,40919.32468,4.5,79,0.5,76.31578947,VU,No
PAL14_126,PAL14_26,Echeneidae,Echeneis naucrates,live sharksucker,1,4.361298854,3.7,54,0.7539,-,LC,No
PAL14_127,PAL14_26,Carangidae,Carangidae sp,jacks,2,1.830256007,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_127,PAL14_26,Carangidae,Caranx sexfasciatus,bigeye trevally,1,2.728640583,4.5,45,0.5,71.83098592,LC,No
PAL14_127,PAL14_26,Carangidae,Decapterus macarellus,mackerel scad,24,57.57508264,4,20,0.0501,-,LC,No
PAL14_127,PAL14_26,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.515416339,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_127,PAL14_26,Nomeidae,Psenes sp,Psenes driftfish,3,4.09505132,3.52,15,0.51615,-,LC,No
PAL14_128,PAL14_26,Carangidae,Carangidae sp,jacks,1,0.915128004,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_128,PAL14_26,Carangidae,Decapterus macarellus,mackerel scad,17,103.7440621,4,20,0.0501,-,LC,No
PAL14_128,PAL14_26,Carcharhinidae,Carcharhinus falciformis,silky shark,1,40919.32468,4.5,79,0.5,76.31578947,VU,No
PAL14_129,PAL14_26,Carangidae,Decapterus macarellus,mackerel scad,37,132.922487,4,20,0.0501,-,LC,No
PAL14_129,PAL14_26,Nomeidae,Psenes sp,Psenes driftfish,3,11.93102912,3.52,15,0.51615,-,LC,No
PAL14_130,PAL14_26,Carangidae,Decapterus macarellus,mackerel scad,25,213.0125941,4,20,0.0501,-,LC,No
PAL14_130,PAL14_26,Nomeidae,Psenes sp,Psenes driftfish,1,1.336530957,3.52,15,0.51615,-,LC,No
PAL14_130,PAL14_26,Carangidae,Carangidae sp,jacks,1,0.915128004,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_131,PAL14_27,Carcharhinidae,Carcharhinus falciformis,silky shark,1,30025.41538,4.5,79,0.5,76.31578947,VU,No
PAL14_131,PAL14_27,Monacanthidae,Monacanthidae sp,leatherjackets,1,4.833365158,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_132,PAL14_27,Carcharhinidae,Carcharhinus falciformis,silky shark,1,25677.2145,4.5,79,0.5,76.31578947,VU,No
PAL14_132,PAL14_27,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.598427747,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_132,PAL14_27,Nomeidae,Psenes sp,Psenes driftfish,1,0.309640119,3.52,15,0.51615,-,LC,No
PAL14_133,PAL14_27,Carcharhinidae,Galeocerdo cuvier,tiger shark,1,337411.47,4.3,64,1,57.01849837,NT,No
PAL14_133,PAL14_27,Echeneidae,Echeneis naucrates,live sharksucker,3,11.15560153,3.7,54,0.7539,-,LC,No
PAL14_135,PAL14_27,Carangidae,Caranx sp,Caranx trevally,1,17.53770432,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_135,PAL14_27,Carangidae,Decapterus sp,Decapterus scad,1,2.701741933,4,20,0.0501,-,LC,No
PAL14_135,PAL14_27,Nomeidae,Psenes sp,Psenes driftfish,3,0.697424134,3.52,15,0.51615,-,LC,No
PAL14_136,PAL14_28,Carangidae,Carangidae sp,jacks,1,0.915128004,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_136,PAL14_28,Carangidae,Carangoides ferdau,blue trevally,1,65.36181636,4.3,44,0.5,-,LC,No
PAL14_136,PAL14_28,Monacanthidae,Monacanthidae sp,leatherjackets,2,6.635227733,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_137,PAL14_28,Carangidae,Caranx sp,Caranx trevally,2,3.940120576,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_137,PAL14_28,Monacanthidae,Monacanthidae sp,leatherjackets,1,2.604800911,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_137,PAL14_28,Nomeidae,Psenes sp,Psenes driftfish,1,1.071517644,3.52,15,0.51615,-,LC,No
PAL14_138,PAL14_28,Carangidae,Caranx sp,Caranx trevally,1,0.915167153,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_138,PAL14_28,Carcharhinidae,Carcharhinus falciformis,silky shark,1,4497.621198,4.5,79,0.5,76.31578947,VU,No
PAL14_138,PAL14_28,Monacanthidae,Monacanthidae sp,leatherjackets,1,1.60878222,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_139,PAL14_28,Carangidae,Caranx sp,Caranx trevally,2,1.121805403,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_139,PAL14_28,Monacanthidae,Monacanthidae sp,leatherjackets,1,0.979009295,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_139,PAL14_28,Nomeidae,Psenes sp,Psenes driftfish,1,1.071517644,3.52,15,0.51615,-,LC,No
PAL14_140,PAL14_28,Carangidae,Carangidae sp,jacks,1,0.915128004,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_140,PAL14_28,Carangidae,Caranx sexfasciatus,bigeye trevally,1,5.168282259,4.5,45,0.5,71.83098592,LC,No
PAL14_141,PAL14_29,Carangidae,Caranx sp,Caranx trevally,1,1.836101495,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_141,PAL14_29,Carcharhinidae,Carcharhinus falciformis,silky shark,1,19746.43677,4.5,79,0.5,76.31578947,VU,No
PAL14_141,PAL14_29,Fistulariidae,Fistularia sp,cornetfish,1,1.620548098,4.3,69.5,0.625,-,LC,No
PAL14_142,PAL14_29,Carangidae,Caranx sp,Caranx trevally,4,12.71230404,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_142,PAL14_29,Carangidae,Naucrates ductor,pilotfish,1,213.4319923,3.4,24,1,-,LC,No
PAL14_142,PAL14_29,Carcharhinidae,Carcharhinus falciformis,silky shark,1,19069.54628,4.5,79,0.5,76.31578947,VU,No
PAL14_142,PAL14_29,Echeneidae,Echeneis naucrates,live sharksucker,1,1.447604578,3.7,54,0.7539,-,LC,No
PAL14_142,PAL14_29,Monacanthidae,Monacanthidae sp,leatherjackets,2,1.519762296,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_142,PAL14_29,Nomeidae,Psenes sp,Psenes driftfish,1,0.22804287,3.52,15,0.51615,-,LC,No
PAL14_143,PAL14_29,Carangidae,Caranx sp,Caranx trevally,3,7.452635848,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_143,PAL14_29,Fistulariidae,Fistularia sp,cornetfish,1,2.015142498,4.3,69.5,0.625,-,LC,No
PAL14_143,PAL14_29,Juvenile,Juvenile sp,juvenile,1,0.95162138,2,-,-,-,-,No
PAL14_143,PAL14_29,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.440282282,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_143,PAL14_29,Nomeidae,Psenes sp,Psenes driftfish,1,0.343917086,3.52,15,0.51615,-,LC,No
PAL14_144,PAL14_29,Carangidae,Caranx sp,Caranx trevally,2,1.261546895,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_144,PAL14_29,Carcharhinidae,Carcharhinus falciformis,silky shark,1,17270.66994,4.5,79,0.5,76.31578947,VU,No
PAL14_144,PAL14_29,Juvenile,Juvenile sp,juvenile,4,3.806485519,2,-,-,-,-,No
PAL14_144,PAL14_29,Monacanthidae,Monacanthidae sp,leatherjackets,2,3.83384602,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_145,PAL14_29,Carangidae,Carangidae sp,jacks,1,1.309222229,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_145,PAL14_29,Carangidae,Caranx sp,Caranx trevally,3,20.25725932,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_145,PAL14_29,Carcharhinidae,Carcharhinus falciformis,silky shark,1,13924.62598,4.5,79,0.5,76.31578947,VU,No
PAL14_145,PAL14_29,Monacanthidae,Monacanthidae sp,leatherjackets,2,25.9394964,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_146,PAL14_30,Carangidae,Caranx sp,Caranx trevally,11,30.22243676,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_146,PAL14_30,Carangidae,Decapterus macarellus,mackerel scad,3,26.82085392,4,20,0.0501,-,LC,No
PAL14_146,PAL14_30,Carangidae,Decapterus sp,Decapterus scad,83,182294.5519,4,20,0.0501,-,LC,No
PAL14_146,PAL14_30,Monacanthidae,Monacanthidae sp,leatherjackets,9,21.43226554,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_146,PAL14_30,Nomeidae,Psenes sp,Psenes driftfish,1,0.168747313,3.52,15,0.51615,-,LC,No
PAL14_146,PAL14_30,Sphyrnidae,Sphyrna zygaena,smoooth hammerhead,1,232997.0915,4.32,85,0.5029,37.5,VU,No
PAL14_147,PAL14_30,Carangidae,Caranx sp,Caranx trevally,9,38.10476925,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_147,PAL14_30,Coryphaenidae,Coryphaena hippurus,common dolphinfish,1,962.7442185,4.4,40,1,69.50897571,LC,No
PAL14_147,PAL14_30,Monacanthidae,Monacanthidae sp,leatherjackets,4,7.241211022,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_147,PAL14_30,Nomeidae,Psenes sp,Psenes driftfish,2,0.693886791,3.52,15,0.51615,-,LC,No
PAL14_148,PAL14_30,Carangidae,Caranx sp,Caranx trevally,9,12.25542993,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_148,PAL14_30,Carangidae,Decapterus sp,Decapterus scad,111,149.9545726,4,20,0.0501,-,LC,No
PAL14_148,PAL14_30,Carcharhinidae,Carcharhinus falciformis,silky shark,1,11175.12051,4.5,79,0.5,76.31578947,VU,No
PAL14_148,PAL14_30,Coryphaenidae,Coryphaena hippurus,common dolphinfish,9,2535.712494,4.4,40,1,69.50897571,LC,No
PAL14_148,PAL14_30,Juvenile,Juvenile sp,juvenile,1,0.337852092,2,-,-,-,-,No
PAL14_148,PAL14_30,Monacanthidae,Monacanthidae sp,leatherjackets,2,2.874368644,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_148,PAL14_30,Nomeidae,Psenes sp,Psenes driftfish,2,0.27538367,3.52,15,0.51615,-,LC,No
PAL14_149,PAL14_30,Blenniidae,Plagiotremus sp,combtooth blenny,1,0.549822353,3.8,24,0.5005,-,LC,No
PAL14_149,PAL14_30,Carangidae,Caranx sp,Caranx trevally,7,10.70128562,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_149,PAL14_30,Carangidae,Decapterus macarellus,mackerel scad,7,62.58199248,4,20,0.0501,-,LC,No
PAL14_149,PAL14_30,Carangidae,Decapterus sp,Decapterus scad,15,85.20734213,4,20,0.0501,-,LC,No
PAL14_149,PAL14_30,Carcharhinidae,Carcharhinus falciformis,silky shark,1,16163.25607,4.5,79,0.5,76.31578947,VU,No
PAL14_149,PAL14_30,Coryphaenidae,Coryphaena hippurus,common dolphinfish,6,3981.894192,4.4,40,1,69.50897571,LC,No
PAL14_149,PAL14_30,Monacanthidae,Monacanthidae sp,leatherjackets,5,123.5764651,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_149,PAL14_30,Nomeidae,Psenes sp,Psenes driftfish,1,0.262220842,3.52,15,0.51615,-,LC,No
PAL14_150,PAL14_30,Carangidae,Caranx sp,Caranx trevally,9,37.56843331,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_150,PAL14_30,Carangidae,Decapterus macarellus,mackerel scad,2,17.88056928,4,20,0.0501,-,LC,No
PAL14_150,PAL14_30,Carangidae,Decapterus sp,Decapterus scad,3,38.14486456,4,20,0.0501,-,LC,No
PAL14_150,PAL14_30,Carcharhinidae,Carcharhinus falciformis,silky shark,1,58876.56683,4.5,79,0.5,76.31578947,VU,No
PAL14_150,PAL14_30,Coryphaenidae,Coryphaena hippurus,common dolphinfish,7,20901.2598,4.4,40,1,69.50897571,LC,No
PAL14_150,PAL14_30,Monacanthidae,Monacanthidae sp,leatherjackets,2,5.007073577,3.786503253,49.14460877,0.618913162,-,-,No
