Sample,Zone,Site,Type,Plankton_Category,Specimen_Type,Morphotype,Spec_Morph,Total_Count,SampleBase,BRUVString
PAL22_S1_1_S_1,South,S1,Zooplankton,Meroplankton,Stomatopod,Bilobed Antizoea,Stomatopod_Bilobed Antizoea,1,PAL22_S1_1_S,PAL22_26
PAL22_S1_1_S_1,South,S1,Zooplankton,Meroplankton,Stomatopod,Egg Eye Antizoea,Stomatopod_Egg Eye Antizoea,4,PAL22_S1_1_S,PAL22_26
PAL22_S1_1_S_1,South,S1,Zooplankton,Meroplankton,Stomatopod,Skinny Antizoea,Stomatopod_Skinny Antizoea,2,PAL22_S1_1_S,PAL22_26
PAL22_S1_1_S_1,South,S1,Zooplankton,Meroplankton,Stomatopod,Tripod Antizoea,Stomatopod_Tripod Antizoea,3,PAL22_S1_1_S,PAL22_26
PAL22_S1_1_S_1,South,S1,Zooplankton,Meroplankton,Stomatopod,Whale Tail Antizoea,Stomatopod_Whale Tail Antizoea,17,PAL22_S1_1_S,PAL22_26
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,111,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Copepod,5,Copepod_5,23,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Polychaete,Larva 7,Polychaete_Larva 7,8,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Echinoderm,Ophiopluteus NA,Echinoderm_Ophiopluteus NA,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Echinoderm,Echinopluteus 3,Echinoderm_Echinopluteus 3,4,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Copepod,1,Copepod_1,912,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Pteropod,Styliola (Pin Straight),Pteropod_Styliola (Pin Straight),5,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,4,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,23,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Copepod,11,Copepod_11,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Pteropod,Helicina (Flat),Pteropod_Helicina (Flat),1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Copepod,2,Copepod_2,3340,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,4,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Benthic_Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,20,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,352,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Echinoderm,Echinopluteus 2,Echinoderm_Echinopluteus 2,5,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,424,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Larvaceans,NA,Larvaceans_NA,3768,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,126,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Copepod,13,Copepod_13,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Evadne,NA,Evadne_NA,3432,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Chaetognath,NA,Chaetognath_NA,55,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,67,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Copepod,3,Copepod_3,38,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Shrimp,6,Shrimp_6,22,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Copepod,12,Copepod_12,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Shrimp,Mysid,Shrimp_Mysid,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Amphipod,Hyperiid_All Eyes,Amphipod_Hyperiid_All Eyes,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Amphipod,Hyperiid_Small Eyes,Amphipod_Hyperiid_Small Eyes,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Barnacle,Nauplii,Barnacle_Nauplii,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Benthic_Snail,1,Benthic_Snail_1,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Benthic_Snail,2,Benthic_Snail_2,2,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Benthic_Snail,3,Benthic_Snail_3,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Benthic_Snail,Bubble 2,Benthic_Snail_Bubble 2,14,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Benthic_Snail,Cross-Hatched Small Hole,Benthic_Snail_Cross-Hatched Small Hole,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Benthic_Snail,Headless,Benthic_Snail_Headless,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Benthic_Snail,Pocked Clear,Benthic_Snail_Pocked Clear,12,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Benthic_Snail,Short Angled Ridges,Benthic_Snail_Short Angled Ridges,2,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Benthic_Snail,Short Clear Retroversa-Like,Benthic_Snail_Short Clear Retroversa-Like,6,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Benthic_Snail,Short Hatched,Benthic_Snail_Short Hatched,170,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Benthic_Snail,Short Light Orange,Benthic_Snail_Short Light Orange,188,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Benthic_Snail,Thorny B,Benthic_Snail_Thorny B,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Benthic_Snail,Tulip,Benthic_Snail_Tulip,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Bivalve,1,Bivalve_1,2,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Bivalve,2,Bivalve_2,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Copepod,7,Copepod_7,392,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Copepod,9,Copepod_9,10,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Copepod,Like 1 But Chunky,Copepod_Like 1 But Chunky,39,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Crab,Brachyuran Megalops,Crab_Brachyuran Megalops,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Crab,Zoea 1,Crab_Zoea 1,3,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Echinoderm,Doliolaria,Echinoderm_Doliolaria,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Echinoderm,OJ,Echinoderm_OJ,2,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Fish,Eggs,Fish_Eggs,23,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Fish,Huge Egg No Hair,Fish_Huge Egg No Hair,2,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Fish,Large Cloudy Eggs,Fish_Large Cloudy Eggs,10,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Fish,Myctophid,Fish_Myctophid,6,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Fish,Scorpion Fish,Fish_Scorpion Fish,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Fish,Small Eggs,Fish_Small Eggs,6,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Isopod,1,Isopod_1,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Jelly,2,Jelly_2,2,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Krill,1,Krill_1,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Limpet,1,Limpet_1,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Nudibranch,Larva 2,Nudibranch_Larva 2,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Polychaete,Larva 8,Polychaete_Larva 8,23,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Polychaete,Pelagic 3,Polychaete_Pelagic 3,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Polychaete,Scale Worm,Polychaete_Scale Worm,4,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Pteropod,1,Pteropod_1,18,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Pteropod,1B,Pteropod_1B,16,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Pteropod,Corkscrew,Pteropod_Corkscrew,23,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Pteropod,Crepidula,Pteropod_Crepidula,2,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Pteropod,Kiddie Cone,Pteropod_Kiddie Cone,30,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Pteropod,Retroversa 2,Pteropod_Retroversa 2,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Pteropod,Striated,Pteropod_Striated,12,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Pteropod,Unshelled 1,Pteropod_Unshelled 1,2,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Shrimp,1,Shrimp_1,114,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Holoplankton,Shrimp,7,Shrimp_7,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Sipunculan,NA,Sipunculan_NA,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Sipunculan,Pelagosphera,Sipunculan_Pelagosphera,25,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Stomatopod,Antizoea,Stomatopod_Antizoea,7,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Stomatopod,Antizoea 1,Stomatopod_Antizoea 1,2,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Stomatopod,Antizoea 2,Stomatopod_Antizoea 2,1,PAL22_S1_3_S,PAL22_27
PAL22_S1_3_S_3,South,S1,Zooplankton,Meroplankton,Stomatopod,Antizoea 3,Stomatopod_Antizoea 3,1,PAL22_S1_3_S,PAL22_27
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Sipunculan,Pelagosphera 1,Sipunculan_Pelagosphera 1,2,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Benthic_Snail,Clear/Smooth Swiss Chalet,Benthic_Snail_Clear/Smooth Swiss Chalet,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,64,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Copepod,5,Copepod_5,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Copepod,8,Copepod_8,4,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Polychaete,Larva 7,Polychaete_Larva 7,2,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Echinoderm,Echinopluteus 3,Echinoderm_Echinopluteus 3,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Copepod,1,Copepod_1,79,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Isopod,3,Isopod_3,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Copepod,2,Copepod_2,760,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,6,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),8,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Benthic_Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,4,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,150,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Benthic_Snail,Cross-Hatched,Benthic_Snail_Cross-Hatched,20,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,82,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Larvaceans,NA,Larvaceans_NA,64,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,125,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Echinoderm,Echinopluteus 4,Echinoderm_Echinopluteus 4,2,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Copepod,13,Copepod_13,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Evadne,NA,Evadne_NA,198,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Chaetognath,NA,Chaetognath_NA,4,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,7,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Copepod,14,Copepod_14,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Copepod,3,Copepod_3,2,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Copepod,Snowy,Copepod_Snowy,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Shrimp,Mysid,Shrimp_Mysid,29,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Amphipod,Hyperiid_1,Amphipod_Hyperiid_1,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Amphipod,Hyperiid_All Eyes,Amphipod_Hyperiid_All Eyes,6,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Ascidean_Tadpole,NA,Ascidean_Tadpole_NA,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Benthic_Snail,3,Benthic_Snail_3,3,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Benthic_Snail,4,Benthic_Snail_4,9,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Benthic_Snail,5,Benthic_Snail_5,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Benthic_Snail,6,Benthic_Snail_6,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Benthic_Snail,Bubble 2,Benthic_Snail_Bubble 2,5,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Benthic_Snail,Cross-Hatched Hole,Benthic_Snail_Cross-Hatched Hole,2,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Benthic_Snail,Pocked Clear,Benthic_Snail_Pocked Clear,16,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Benthic_Snail,Short Angled Ridges,Benthic_Snail_Short Angled Ridges,4,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Benthic_Snail,Short Hatched,Benthic_Snail_Short Hatched,12,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Benthic_Snail,Short Light Orange,Benthic_Snail_Short Light Orange,374,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Benthic_Snail,Tulip,Benthic_Snail_Tulip,4,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Bivalve,1,Bivalve_1,6,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Bivalve,2,Bivalve_2,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Bivalve,4,Bivalve_4,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Cephalopod,Squid 1,Cephalopod_Squid 1,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Copepod,7,Copepod_7,6,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Copepod,9,Copepod_9,64,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Copepod,Like 1 But Chunky,Copepod_Like 1 But Chunky,36,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Echinoderm,Echinopluteus 5,Echinoderm_Echinopluteus 5,2,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Fish,Eggs,Fish_Eggs,376,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Fish,Large Cloudy Eggs,Fish_Large Cloudy Eggs,19,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Fish,Myctophid,Fish_Myctophid,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Huge_Hairy_Egg,NA,Huge_Hairy_Egg_NA,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Isopod,4,Isopod_4,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Jelly,2,Jelly_2,2,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Jelly,7,Jelly_7,3,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Nudibranch,Larva 3,Nudibranch_Larva 3,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Ostracod,1,Ostracod_1,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Polychaete,Larva 8,Polychaete_Larva 8,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Polychaete,Pelagic 3,Polychaete_Pelagic 3,3,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Pteropod,1B,Pteropod_1B,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Pteropod,3,Pteropod_3,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Pteropod,Corkscrew,Pteropod_Corkscrew,46,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Pteropod,Cornucopia,Pteropod_Cornucopia,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Pteropod,Crepidula,Pteropod_Crepidula,2,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Pteropod,Retroversa 2,Pteropod_Retroversa 2,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Pteropod,Striated,Pteropod_Striated,19,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Salp,2,Salp_2,2,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Shrimp,4,Shrimp_4,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Holoplankton,Shrimp,8,Shrimp_8,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_2_S_2,South,S2,Zooplankton,Meroplankton,Sipunculan,1,Sipunculan_1,1,PAL22_S2_2_S,PAL22_17
PAL22_S2_3_S_3,South,S2,Zooplankton,Meroplankton,Cnidaria,Unknown_27,Cnidaria_Unknown_27,5,PAL22_S2_3_S,PAL22_18
PAL22_S2_3_S_3,South,S2,Zooplankton,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,54,PAL22_S2_3_S,PAL22_18
PAL22_S2_3_S_3,South,S2,Zooplankton,Holoplankton,Copepod,5,Copepod_5,1,PAL22_S2_3_S,PAL22_18
PAL22_S2_3_S_3,South,S2,Zooplankton,Holoplankton,Copepod,8,Copepod_8,2,PAL22_S2_3_S,PAL22_18
PAL22_S2_3_S_3,South,S2,Zooplankton,Meroplankton,Polychaete,Larva 7,Polychaete_Larva 7,1,PAL22_S2_3_S,PAL22_18
PAL22_S2_3_S_3,South,S2,Zooplankton,Holoplankton,Copepod,1,Copepod_1,31,PAL22_S2_3_S,PAL22_18
PAL22_S2_3_S_3,South,S2,Zooplankton,Holoplankton,Pteropod,Styliola (Pin Straight),Pteropod_Styliola (Pin Straight),3,PAL22_S2_3_S,PAL22_18
PAL22_S2_3_S_3,South,S2,Zooplankton,Holoplankton,Isopod,3,Isopod_3,1,PAL22_S2_3_S,PAL22_18
PAL22_S2_3_S_3,South,S2,Zooplankton,Holoplankton,Copepod,2,Copepod_2,1116,PAL22_S2_3_S,PAL22_18
PAL22_S2_3_S_3,South,S2,Zooplankton,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,1,PAL22_S2_3_S,PAL22_18
PAL22_S2_3_S_3,South,S2,Zooplankton,Meroplankton,Benthic_Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,2,PAL22_S2_3_S,PAL22_18
PAL22_S2_3_S_3,South,S2,Zooplankton,Meroplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,13,PAL22_S2_3_S,PAL22_18
PAL22_S2_3_S_3,South,S2,Zooplankton,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,88,PAL22_S2_3_S,PAL22_18
PAL22_S2_3_S_3,South,S2,Zooplankton,Holoplankton,Larvaceans,NA,Larvaceans_NA,13,PAL22_S2_3_S,PAL22_18
